nombre,sku,precio
KIT BILED ALFA M1 H3,#KFOLEALM1H3,620.0
CONFIGURACION_SISTEMA,_CONFIG_PROMOS_,0
KIT BILED ALFA M4 H11,#KFOLEALM4H11,1700.0
KIT LED ALFA M3 5202,#KFOLEALM35202,1600.0
KIT LED ALFA M2 H11 Tricolor,#KFOLEALM2H113C,820.0
KIT LED ALFA M2 9006,#KFOLEALM296,820.0
KIT LED ALFA M2 9007 Tricolor,#KFOLEALM2973C,1400.0
KIT BILED ALFA M3 H4,#KFOLEALM3H4,1600.0
ACTUADOR O SERVOMOTOR,#PACAL,60.0
ARNES PARA RELAY DE 5 PATAS,#PARAL5PIN,40.0
KIT LED ALFA S2 9007,#KFOLEALS297,250.0
KIT BILED ALFA M1 H4,#KFOLEALM1H4,750.0
KIT LED ALFA S3 H11,#KFOLEALS3H11,320.0
KIT BILED ALFA O1 H1,#KFOLEALO1H1,680.0
KIT DE FOCO MINIATURA LED ALFA T20,#KFMLEALT20,640.0
KIT HALOGENO COOLBLUE OSRAM H11,#KFOHAOS86904,1000.0
KIT BIXENON SLIM H4,#KFOBXAL55H45K,2140.0
KIT LED COOL BLUE INTENSE OSRAM H4,#KFOLEOS86712,4980.0
KIT XENON SLIM 880,#KFOXEAL558805K,1700.0
KIT XENON SLIM H7,#KFOXEAL55H75K,1700.0
KIT OSRAM COOL BLUE H7,#KFOHAOS85570,480.0
KIT LAMPARA LED MINIATURA NEOLUX NT1061CW-02B,#KFMLENE85222,240.0
KIT DE FOCO MINIATURA LED ALFA S5-3157,#KFMLEAL3157,600.0
FOCO XENON D2C,#PFOXEAL35D2C,560.0
FOCO XENON D1S NEOLUX,#PFOXENE85253,560.0
FOCO XENON OSRAM D2S,#PFOXEOS86178,1300.0
KIT XENON SLIM 9006,#KFOXEAL55965K,1740.0
KIT DE LAMPARA H11 OSRAM COOL BLUE INTENSE,#KFOHAOS87838,940
"FARO 7"" OVALADO 12 LEDS TIPO LUPA",#PFALEALRD002,400.0
"FARO CUADRADO LED ALFA 2X2 3"" AMARILLO",#PFALEALCU007,360.0
BALASTRA SLIM ALFA 55W,#PBLACAL55,1270.0
BALASTRA D1/3 A6,#PBLACAL35A6,1270.0
MODULO FLASHEADOR,#KMOALFLASH,640.0
"FARO REDONDO ALFA 5""",#PFALEALRD006,1480.0
FARO 2X2 LEDS,#PFALEALCU003,260.0
BARRA MINI RECTA BLANCA 1X12,#PBAALMIBL036R,420.0
BARRA MINI RECTA BICOLOR 1X24,#KBAALMIB072R,1240.0
BARRA SLIM RECTA 2X40,#PBAALSL240R,1420.0
"BARRA SYLVANIA 10"" LED LIGHT BAR SPOT BX",#PBASY34026,6780.0
ARNES FLASHEADOR CON ANTENA ESPIRAL,#KARALFLASH,640.0
BALASTRA D1/3 M6,#PBLACAL35M6,1270.0
"BARRA ALFA LED 90W 18"" 9 LEDS BLANCA CON LATERALES AMBAR",#PBAAL1X9RBA,600.0
"UNIDAD REDONDA 7"" 13 LEDS CON 2 TIRAS",#PUNLEALRD001,1420.0
"FARO MODULAR 4"" 2 LED",#PFALEALRC001,620.0
KIT FAROS LED ALFA 1X6 AMBAR/AMBAR CON ESTROBO,#KFALEALRC007,570.0
KIT DE ILUMINACION EXTERIOR 4 ZONAS RGB,#KFOLEAL4ZONA,1490.0
FARO OSRAM H4656,#PUNHASY30825,340.0
AMPLIFICADOR ALFA 700.1,#PAMAL700.1D,7780.0
TWEETER ALFA TW10,#KTWALPRON10,490.0
KIT BOCINA ALFA MRLB65,#KBOALMRLB65,1040.0
BOCINA ALFA MRLB80,#PBOALMRLB80,640.0
