Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page1_img1.jpg: 1320x1020
page1_img2.jpg: 1000x1000
page1_img3.jpg: 761x73
page1_img4.jpg: 1650x1275
page1_img5.jpg: 1x1
page1_img6.jpg: 1x1
page1_img7.jpg: 1x1
page1_img8.jpg: 1x1
page1_img9.jpg: 1x1
page1_img10.jpg: 1x1
page2_img1.jpg: 1324x1023
page2_img2.jpg: 415x102
page2_img3.jpg: 311x311
page2_img4.jpg: 408x5
page2_img5.jpg: 350x8
page2_img6.jpg: 408x5
page2_img7.jpg: 431x184
page2_img8.jpg: 456x109
page2_img9.jpg: 666x753
page2_img10.jpg: 602x183
page2_img11.jpg: 559x352
page2_img12.jpg: 258x102
page2_img13.jpg: 265x102
page2_img14.jpg: 822x78
page2_img15.jpg: 1x1
page2_img16.jpg: 1650x1275
page3_img1.jpg: 1318x1018
page3_img2.jpg: 1570x377
page3_img3.jpg: 411x411
page3_img4.jpg: 1388x8
page3_img5.jpg: 1647x1275
page4_img1.jpg: 1635x1621
page4_img2.jpg: 1456x94
page4_img3.jpg: 411x411
page4_img4.jpg: 728x212
page4_img5.jpg: 1650x1248
page5_img1.jpg: 111x52
page5_img2.jpg: 1166x303
page5_img3.jpg: 134x17
page5_img4.jpg: 53x53
page5_img5.jpg: 53x53
page5_img6.jpg: 53x53
page5_img7.jpg: 53x53
page5_img8.jpg: 72x72
page5_img9.jpg: 1670x1173
page5_img10.jpg: 422x562
page5_img11.jpg: 420x561
page5_img12.jpg: 360x480
page5_img13.jpg: 386x516
page5_img14.jpg: 475x634
page5_img15.jpg: 378x503
page6_img1.jpg: 53x53
page6_img2.jpg: 53x53
page6_img3.jpg: 53x53
page6_img4.jpg: 53x53
page6_img5.jpg: 72x72
page6_img6.jpg: 1670x1173
page6_img7.jpg: 1166x303
page6_img8.jpg: 134x17
page6_img9.jpg: 134x17
page6_img10.jpg: 887x887
page6_img11.jpg: 360x480
page6_img12.jpg: 462x617
page6_img13.jpg: 475x634
page6_img14.jpg: 433x577
page7_img1.jpg: 53x53
page7_img2.jpg: 53x53
page7_img3.jpg: 53x53
page7_img4.jpg: 53x53
page7_img5.jpg: 72x72
page7_img6.jpg: 1670x1173
page7_img7.jpg: 1166x303
page7_img8.jpg: 134x17
page7_img9.jpg: 134x17
page7_img10.jpg: 453x605
page7_img11.jpg: 414x553
page7_img12.jpg: 472x630
page7_img13.jpg: 436x581
page7_img14.jpg: 423x564
page8_img1.jpg: 1166x303
page8_img2.jpg: 53x53
page8_img3.jpg: 53x53
