page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    1320  1020  icc     3   8  jpeg   no       120  0   120   120 61.3K 1.6%
   1     1 image    1650  1275  icc     3   8  jpeg   no       123  0   150   150  538B 0.0%
   1     2 image    1000  1000  icc     3   8  jpeg   no       132  0   148   148 9.85K 0.3%
   1     3 smask    1000  1000  gray    1   8  jpeg   no       132  0   148   148 8772B 0.9%
   1     4 image     761    73  icc     3   8  image  no       139  0   150   149  192B 0.1%
   1     5 mask     1519   144  -       1   1  image  no       139  0   299   294  165B 0.6%
   1     6 image       1     1  rgb     3   8  image  no       162  0 0.429     1    3B 100%
   1     7 smask     350   145  gray    1   8  jpeg   no       162  0   150   150 1942B 3.8%
   1     8 image       1     1  rgb     3   8  image  no       169  0 0.428     1    3B 100%
   1     9 smask     350   143  gray    1   8  jpeg   no       169  0   150   149 2106B 4.2%
   1    10 image       1     1  rgb     3   8  image  no       176  0 0.548     2    3B 100%
   1    11 smask     273    67  gray    1   8  jpeg   no       176  0   150   150  960B 5.2%
   1    12 image       1     1  rgb     3   8  image  no       183  0 0.524     2    3B 100%
   1    13 smask     286    67  gray    1   8  jpeg   no       183  0   150   150  991B 5.2%
   1    14 image       1     1  rgb     3   8  image  no       190  0 0.349     2    3B 100%
   1    15 smask     429    73  gray    1   8  jpeg   no       190  0   150   150 1503B 4.8%
   1    16 image       1     1  rgb     3   8  image  no       202  0 0.381     2    3B 100%
   1    17 smask     394    86  gray    1   8  jpeg   no       202  0   150   149 1524B 4.5%
   2    18 image    1324  1023  icc     3   8  jpeg   no       208  0   120   120 81.7K 2.1%
   2    19 image    1650  1275  icc     3   8  jpeg   no       123  0   150   150  538B 0.0%
   2    20 image     415   102  icc     3   8  jpeg   no       216  0   150   151 4535B 3.6%
   2    21 smask     415   102  gray    1   8  jpeg   no       216  0   150   151 5045B  12%
   2    22 image     311   311  icc     3   8  jpeg   no       222  0   150   150 3577B 1.2%
   2    23 smask     311   311  gray    1   8  image  no       222  0   150   150 2731B 2.8%
   2    24 image     408     5  icc     3   8  image  no       229  0   150   160   54B 0.9%
   2    25 smask     408     5  gray    1   8  image  no       229  0   150   160   54B 2.6%
   2    26 image     350     8  icc     3   8  image  no       235  0   150   154   62B 0.7%
   2    27 smask     350     8  gray    1   8  image  no       235  0   150   154   45B 1.6%
   2    28 image     408     5  icc     3   8  image  no       229  0   150   160   54B 0.9%
   2    29 smask     408     5  gray    1   8  image  no       229  0   150   160   54B 2.6%
   2    30 image     408     5  icc     3   8  image  no       241  0   150   160   65B 1.1%
   2    31 smask     408     5  gray    1   8  image  no       241  0   150   160   54B 2.6%
   2    32 image     431   184  icc     3   8  jpeg   no       246  0   150   150 5388B 2.3%
   2    33 smask     431   184  gray    1   8  jpeg   no       246  0   150   150 5330B 6.7%
   2    34 image     456   109  icc     3   8  jpeg   no       252  0   150   149 4749B 3.2%
   2    35 smask     456   109  gray    1   8  jpeg   no       252  0   150   149 5343B  11%
   2    36 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    37 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    38 image     602   183  icc     3   8  jpeg   no       264  0   150   150 17.2K 5.3%
   2    39 smask     602   183  gray    1   8  jpeg   no       264  0   150   150 15.0K  14%
   2    40 image     559   352  icc     3   8  jpeg   no       270  0   150   150 15.8K 2.7%
   2    41 smask     559   352  gray    1   8  jpeg   no       270  0   150   150 13.8K 7.2%
   2    42 image     258   102  icc     3   8  jpeg   no       276  0   150   151 2817B 3.6%
   2    43 smask     258   102  gray    1   8  jpeg   no       276  0   150   151 2985B  11%
   2    44 image     408     5  icc     3   8  image  no       229  0   150   160   54B 0.9%
   2    45 smask     408     5  gray    1   8  image  no       229  0   150   160   54B 2.6%
   2    46 image     265   102  icc     3   8  jpeg   no       282  0   150   151 2959B 3.6%
   2    47 smask     265   102  gray    1   8  jpeg   no       282  0   150   151 3262B  12%
   2    48 image     822    78  icc     3   8  jpeg   no       288  0   150   150 9203B 4.8%
   2    49 smask     822    78  gray    1   8  jpeg   no       288  0   150   150 8075B  13%
   2    50 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    51 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    52 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    53 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    54 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    55 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    56 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    57 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    58 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    59 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    60 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    61 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    62 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    63 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    64 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    65 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    66 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    67 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
   2    68 image     666   753  icc     3   8  jpeg   no       258  0   150   150 46.3K 3.1%
   2    69 smask     666   753  gray    1   8  jpeg   no       258  0   150   150 40.2K 8.2%
